INDEXSORT,YearIndex,Year,FemCode,MatCode,FDNA,FemID,MatID,DamFemCode,DamID,JuvID,Site,YearFirstCap,DOB,Age,Lifespan,IDNotes,DeathYear,FemNotes,Northing,Easting,FemRS,CapDate,CapMass,FirstBirth,DayBirth,FemSVLAft,FemTotAft,FemTailBreak,FemMassAft,Clutch,Cmass,RelCMass,MeanCmass,MeanCSVL,MeanCTot,SexRatio,Nmale,Nstillborn,Csuccess,OffID,JuvBDate,JuvDBirth,OffCode,OffDNA,OffMass,OffSVL,OffTot,OffTL,OffSex,SexAcc,OffRelDate,OffRS,OffNotes,CatchSept,SVLSept,TotSept,TBSept,MassSept,CopsL,CopsR,CopsTot,FolL,FolR,FolTot,NorthSept,EastSept
3530,12,2005,,5045,,,1345,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327,15/02/2006,67,Feb-32,,0.6358,31.57,71.45,39.88,0,95,20/02/2006,6,,,,,,,,,,,,,,
3531,12,2005,,5045,,,1345,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328,15/02/2006,67,Feb-33,,0.6118,31.06,,,1,100,20/02/2006,10,,,,,,,,,,,,,,
3532,12,2005,3/04/5352,3/04/5352,,1353,1353,1303,1037,349,CP,2003,27/01/2001,5,5,,,,738,278,,,,15/02/2006,67,80,138,25,7.2535,4,2.4897,0.343241194,0.6224,31.455,71.625,1,4,0,1,3329,15/02/2006,67,Feb-22,,0.6504,31.5,70.85,39.35,1,100,20/02/2006,8,,,,,,,,,,,,,,
3533,12,2005,,3/04/5352,,,1353,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,15/02/2006,67,Feb-23,,0.6105,31.17,70.66,39.49,1,100,20/02/2006,11,,,,,,,,,,,,,,
3534,12,2005,,3/04/5352,,,1353,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331,15/02/2006,67,Feb-24,,0.6267,31.69,72.08,40.39,1,100,20/02/2006,4,,,,,,,,,,,,,,
3535,12,2005,,3/04/5352,,,1353,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,15/02/2006,67,Feb-25,,0.6021,31.46,72.91,41.45,1,100,20/02/2006,1,,,,,,,,,,,,,,
3536,12,2005,3235,3235,,1421,1421,1222,1015,1490,CP,2004,4/02/2003,3,3,,,,,,,,,15/02/2006,67,77,164,84,8.0264,3,1.9387,0.241540417,0.6462,30.85,69.33666667,0.333333333,1,0,1,3333,15/02/2006,67,Feb-03,,0.5966,30.85,68.54,37.69,0,90,20/02/2006,1,,,,,,,,,,,,,,
3537,12,2005,,3235,,,1421,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334,15/02/2006,67,Feb-04,,0.6807,30.75,68.67,37.92,1,100,20/02/2006,9,,,,,,,,,,,,,,
3538,12,2005,,3235,,,1421,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3335,15/02/2006,67,Feb-05,,0.6614,30.95,70.8,39.85,0,95,20/02/2006,5,,,,,,,,,,,,,,
3539,12,2005,011/44,011/44,,1448,1448,,,,CP,2004,,,,,,,732,280,,,,15/02/2006,67,77,159,67,7.0236,5,3.0066,0.428071075,0.6013,30.948,70.348,0.6,3,0,1,3336,15/02/2006,67,Feb-10,,0.6179,30.75,70.74,39.99,1,100,20/02/2006,1,,,,,,,,,,,,,,
3540,12,2005,,011/44,,,1448,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337,15/02/2006,67,Feb-01,,0.607,31.07,69.41,38.34,1,100,20/02/2006,4,,,,,,,,,,,,,,
3541,12,2005,,011/44,,,1448,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338,15/02/2006,67,Feb-12,,0.5961,30.94,72.08,41.14,0,,20/02/2006,2,,,,,,,,,,,,,,
3542,12,2005,,011/44,,,1448,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,15/02/2006,67,Feb-13,,0.5763,30.88,70.18,39.3,0,95,20/02/2006,7,,,,,,,,,,,,,,
3543,12,2005,,011/44,,,1448,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340,15/02/2006,67,Feb-14,,0.6093,31.1,69.33,38.23,1,100,20/02/2006,11,,,,,,,,,,,,,,
3544,12,2005,1225,1225,,1016,1016,,,,CP,2000,,,,,,,,,,,,16/02/2006,68,82,139,17,8.2113,4,2.3514,0.286361477,0.5879,30.625,68.45666667,0.25,1,0,1,3341,16/02/2006,68,Feb-35,,0.5886,30.51,68.11,37.6,0,90,20/02/2006,8,,,,,,,,,,,,,,
3545,12,2005,,1225,,,1016,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3342,16/02/2006,68,Feb-40,,0.626,30.81,68.95,38.14,0,,20/02/2006,2,,,,,,,,,,,,,,
3546,12,2005,,1225,,,1016,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343,16/02/2006,68,Feb-41,,0.5689,31.2,,,1,100,20/02/2006,10,,,,,,,,,,,,,,
3547,12,2005,,1225,,,1016,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,16/02/2006,68,Feb-42,,0.5679,29.98,68.31,38.33,0,,20/02/2006,7,,,,,,,,,,,,,,
3548,12,2005,0021,0021,,1239,1239,,,,CP,2002,,,,,,BASKLONG,,,,,,16/02/2006,68,73,116,5,6.6013,3,1.9887,0.301258843,0.6629,30.90666667,71.53333333,0.666666667,2,0,1,3345,16/02/2006,68,Feb-44,,0.636,30.66,70.51,39.85,1,100,20/02/2006,9,,,,,,,,,,,,,,
3549,12,2005,,0021,,,1239,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3346,16/02/2006,68,Feb-45,,0.6503,30.67,70.12,39.45,1,100,20/02/2006,4,,,,,,,,,,,,,,
3550,12,2005,,0021,,,1239,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347,16/02/2006,68,2/5112/4,,0.7024,31.39,73.97,42.58,0,90,20/02/2006,3,,,,,,,,,,,,,,
3551,12,2005,5040,5040,,1403,1403,1212,1059,442,CP,2004,29/01/2001,5,5,,,,705,301,,,,16/02/2006,68,74,139,30,7.9074,4,2.0095,0.254129044,0.5024,30.98,70.87333333,0.25,1,0,1,3348,16/02/2006,68,Feb-43,,0.6128,30.89,69.48,38.59,0,95,20/02/2006,3,,,,,,,,,,,,,,
3552,12,2005,,5040,,,1403,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3349,16/02/2006,68,Feb-50,,0.5632,31.02,72.27,41.25,1,100,20/02/2006,5,,,,,,,,,,,,,,
3553,12,2005,,5040,,,1403,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,16/02/2006,68,Feb-51,,0.2166,,,,0,90,20/02/2006,11,has deformed leg,,,,,,,,,,,,,
3554,12,2005,,5040,,,1403,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3351,16/02/2006,68,Feb-52,,0.6169,31.03,70.87,39.84,0,95,20/02/2006,2,,,,,,,,,,,,,,
3555,12,2005,2234,2234,,1423,1423,1525,1149,1122,CP,2004,3/03/2002,4,6,,,,695,315,,,,16/02/2006,68,81,147,35,7.9595,5,2.5796,0.324090709,0.5159,30.056,67.722,0.2,1,0,1,3352,16/02/2006,68,Feb-54,,0.4602,29.81,67.37,37.56,0,95,20/02/2006,6,,,,,,,,,,,,,,
3556,12,2005,,2234,,,1423,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353,16/02/2006,68,Feb-01,,0.599,31.04,69.47,38.43,0,,20/02/2006,7,,,,,,,,,,,,,,
3557,12,2005,,2234,,,1423,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354,16/02/2006,68,Feb-02,,0.4783,29.76,65.52,35.76,0,90,20/02/2006,10,,,,,,,,,,,,,,
3558,12,2005,,2234,,,1423,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3355,16/02/2006,68,Feb-03,,0.547,29.94,67.9,37.96,0,,20/02/2006,1,,,,,,,,,,,,,,
3559,12,2005,,2234,,,1423,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3356,16/02/2006,68,Feb-04,,0.4951,29.73,68.35,38.62,1,100,20/02/2006,5,,,,,,,,,,,,,,
3560,12,2005,1411,1411,,1527,1527,1335,1031,978,CP,2005,22/02/2002,4,4,,,new,,,,,,16/02/2006,68,75,153,54,8.2959,4,1.5044,0.181342591,0.5015,29.44666667,64.21333333,0.666666667,2,1,0.75,3357,16/02/2006,68,Feb-34,,0.5642,30.02,66.1,36.08,1,100,20/02/2006,11,,,,,,,,,,,,,,
3561,12,2005,,1411,,,1527,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358,16/02/2006,68,2/5111/4,,0.3838,27.63,58.78,31.15,0,95,20/02/2006,10,,,,,,,,,,,,,,
3562,12,2005,,1411,,,1527,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/02/2006,68,XXXX,,,,,,,,,,,,,,,,,,,,,,,
3563,12,2005,,1411,,,1527,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359,16/02/2006,68,Feb-24,,0.5564,30.69,67.76,37.07,1,95,20/02/2006,,,,,,,,,,,,,,,
3564,12,2005,4040,4040,,1528,1528,114/52,1004,217,CP,2005,22/01/2001,5,5,,,natalia's baby,676,296,,,,16/02/2006,68,72,168,0,6.539,3,1.8739,0.28657287,0.6246,31.13,70.88,0.666666667,2,0,1,3360,16/02/2006,68,Feb-53,,0.6096,30.88,71.04,40.16,1,100,20/02/2006,4,,,,,,,,,,,,,,
3565,12,2005,,4040,,,1528,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361,16/02/2006,68,Feb-55,,0.6618,31.67,71,39.33,1,100,20/02/2006,9,,,,,,,,,,,,,,
3566,12,2005,,4040,,,1528,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3362,16/02/2006,68,Feb-00,,0.6025,30.84,70.6,39.76,0,95,20/02/2006,11,,,,,,,,,,,,,,
3567,12,2005,2232,2232,,1529,1529,1525,1149,1121,CP,2005,3/03/2002,4,4,,,,693,312,,,,16/02/2006,68,76,146,48,8.4709,3,1.8723,0.221027282,0.6241,31.16333333,68.66666667,0.333333333,1,0,1,3363,16/02/2006,68,Feb-05,,0.6118,30.96,68.39,37.43,0,95,20/02/2006,4,,,,,,,,,,,,,,
3568,12,2005,,2232,,,1529,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3364,16/02/2006,68,Feb-10,,0.6275,31.09,67.9,36.81,0,90,20/02/2006,3,,,,,,,,,,,,,,
3569,12,2005,,2232,,,1529,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3365,16/02/2006,68,Feb-11,,0.633,31.44,69.71,38.27,1,100,20/02/2006,1,,,,,,,,,,,,,,
3570,12,2005,4311,4311,,1530,1530,1105,1022,295,CP,2005,26/01/2001,5,5,,,natalia's baby,723,289,,,,16/02/2006,68,73,,,6.9897,2,1.2275,0.175615549,0.6138,31.34,72.2,0.5,1,0,1,3366,16/02/2006,68,Feb-12,,0.6256,31.66,70.84,39.18,0,95,20/02/2006,1,,,,,,,,,,,,,,
3571,12,2005,,4311,,,1530,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367,16/02/2006,68,Feb-13,,0.6019,31.02,73.56,42.54,1,100,20/02/2006,10,,,,,,,,,,,,,,
3572,12,2005,1405,1405,,1323,1323,,,,CP,2003,,,,,,,805,298,,,,17/02/2006,69,82,176,88,8.832,5,2.8303,0.320459692,0.5661,30.228,67.782,0.6,3,0,1,3368,17/02/2006,69,Feb-25,,0.5867,30.15,67.36,37.21,1,100,20/02/2006,10,,,,,,,,,,,,,,
3573,12,2005,,1405,,,1323,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369,17/02/2006,69,Feb-14,,0.5968,30.21,68,37.79,1,100,20/02/2006,3,,,,,,,,,,,,,,
3574,12,2005,,1405,,,1323,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370,17/02/2006,69,Feb-15,,0.5942,30.56,68,37.44,1,100,20/02/2006,2,,,,,,,,,,,,,,
3575,12,2005,,1405,,,1323,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371,17/02/2006,69,Feb-20,,0.4967,30.12,67.64,37.52,0,90,20/02/2006,4,,,,,,,,,,,,,,
3576,12,2005,,1405,,,1323,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3372,17/02/2006,69,Feb-21,,0.5559,30.1,67.91,37.81,0,,20/02/2006,10,,,,,,,,,,,,,,
3577,12,2005,4115,4115,,1343,1343,1213,1010,240,CP,2003,23/01/2001,5,5,,,,723,278,,,,17/02/2006,69,73,136,21,7.73,1,0.5466,0.070711514,0.5466,28.75,64.74,1,1,0,1,3373,17/02/2006,69,Feb-23,,0.5466,28.75,64.74,35.99,1,100,20/02/2006,6,,,,,,,,,,,,,,
3578,12,2005,5430,5430,,1531,1531,,,,CP,2005,,,,,,,,,,,,17/02/2006,69,65,137,49,4.6052,2,1.0976,0.238339269,0.5488,29.01,65.83,0,0,0,1,3374,17/02/2006,69,2/5121/2,,0.552,28.93,65.42,36.49,0,95,20/02/2006,1,,,,,,,,,,,,,,
3579,12,2005,,5430,,,1531,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375,17/02/2006,69,Feb-22,,0.5456,29.09,66.24,37.15,0,90,20/02/2006,4,,,,,,,,,,,,,,
3580,12,2005,1/51/300,1/51/300,,1226,1226,,,,CP,2002,,,,,,,798,230,,,,18/02/2006,70,84,145,25,7.968,5,3.2862,0.412424699,0.6572,30.694,68.796,0.6,3,0,1,3376,18/02/2006,70,Jan-40,,0.6639,31.17,68.21,37.04,1,100,20/02/2006,2,,,,,,,,,,,,,,
3581,12,2005,,1/51/300,,,1226,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377,18/02/2006,70,Feb-41,,0.693,30.28,67.86,37.58,1,100,20/02/2006,4,,,,,,,,,,,,,,
3582,12,2005,,1/51/300,,,1226,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378,18/02/2006,70,Feb-42,,0.6601,30.56,68.97,38.41,0,98,20/02/2006,2,,,,,,,,,,,,,,
3583,12,2005,,1/51/300,,,1226,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3379,18/02/2006,70,Feb-43,,0.6018,30.41,70.2,39.79,0,90,20/02/2006,3,,,,,,,,,,,,,,
3584,12,2005,,1/51/300,,,1226,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380,18/02/2006,70,Feb-44,,0.6674,31.05,68.74,37.69,1,100,20/02/2006,8,,,,,,,,,,,,,,
3585,12,2005,22/313,22/313,,1418,1418,0000(a),1147,1112,CP,2004,1/03/2002,4,4,,,was 2213,619,312,,,,18/02/2006,70,74,140,32,7.593,2,1.5308,0.201606743,0.7654,31.46,73.285,1,2,0,1,3381,18/02/2006,70,Feb-34,,0.7948,31.48,72.71,41.23,1,90,20/02/2006,4,,,,,,,,,,,,,,
3586,12,2005,,22/313,,,1418,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3382,18/02/2006,70,Feb-35,,0.736,31.44,73.86,42.42,1,100,20/02/2006,10,,,,,,,,,,,,,,
3587,12,2005,1101,1101,,1436,1436,1112,1062,874,CP,2004,17/02/2002,4,4,,,,817,214,,,,18/02/2006,70,76,168,89,7.0453,4,2.6211,0.372035258,0.6553,31.285,71.3375,0.75,3,0,1,3383,18/02/2006,70,Feb-30,,0.667,31.1,71.7,40.6,1,100,20/02/2006,10,,,,,,,,,,,,,,
3588,12,2005,,1101,,,1436,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384,18/02/2006,70,Feb-31,,0.6253,31.26,70.9,39.64,1,100,20/02/2006,9,,,,,,,,,,,,,,
3589,12,2005,,1101,,,1436,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385,18/02/2006,70,Feb-32,,0.6644,31.15,71.29,40.14,1,100,20/02/2006,2,,,,,,,,,,,,,,
3590,12,2005,,1101,,,1436,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3386,18/02/2006,70,Feb-33,,0.6644,31.63,71.46,39.83,0,90,20/02/2006,5,,,,,,,,,,,,,,
3591,12,2005,001/44,001/44,,1532,1532,,,,CP,2005,,,,,,,,,,,,18/02/2006,70,,,,7.8793,3,1.9383,0.24599901,0.6461,30.72333333,67.23333333,0.333333333,1,0,1,3387,18/02/2006,70,Feb-45,,0.6688,31.48,71.03,39.55,0,90,20/02/2006,3,,,,,,,,,,,,,,
3592,12,2005,,001/44,,,1532,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388,18/02/2006,70,Feb-50,,0.6224,30.44,67.65,37.21,0,90,20/02/2006,2,,,,,,,,,,,,,,
3593,12,2005,,001/44,,,1532,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3389,18/02/2006,70,Feb-51,,0.6471,30.25,63.02,32.77,1,100,20/02/2006,1,,,,,,,,,,,,,,
3594,12,2005,2454,2454,,1436,1436,0000(river),1172,1213,CP,2004,11/03/2002,4,4,,,245(4),814,219,,,,19/02/2006,71,72,160,82,7.6729,2,1.3902,0.181183125,0.6951,31.37,72.09,1,2,0,1,3390,19/02/2006,71,Feb-12,,0.6894,31.69,72.1,40.41,1,100,24/02/2006,1,,,,,,,,,,,,,,
3595,12,2005,,2454,,,1436,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3391,19/02/2006,71,Feb-13,,0.7008,31.05,72.08,41.03,1,100,24/02/2006,4,,,,,,,,,,,,,,
3596,12,2005,1222,1222,,1437,1437,1441,1118,928,CP,2004,20/02/2002,4,4,,,,886,109,,,,19/02/2006,71,72,148,54,6.9426,3,1.8639,0.268472906,0.6213,30.80666667,70.62666667,0.333333333,1,0,1,3392,19/02/2006,71,Feb-52,,0.629,30.7,70.32,39.62,0,95,20/02/2006,9,,,,,,,,,,,,,,
3597,12,2005,,1222,,,1437,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393,19/02/2006,71,Feb-54,,0.6505,31.12,71.18,40.06,0,90,20/02/2006,7,,,,,,,,,,,,,,
3598,12,2005,,1222,,,1437,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,19/02/2006,71,Feb-55,,0.5844,30.6,70.38,39.78,1,100,20/02/2006,1,,,,,,,,,,,,,,
3599,12,2005,1533,1533,,1442,1442,1104/5,1082,1034,CP,2004,24/02/2002,4,4,,,,819,213,,,,19/02/2006,71,74,158,89,7.6303,3,1.9096,0.250265389,0.6365,30.76666667,68.84333333,0.333333333,1,0,1,3395,19/02/2006,71,Feb-53,,0.6503,31.33,69.39,38.06,1,100,20/02/2006,5,,,,,,,,,,,,,,
3600,12,2005,,1533,,,1442,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396,19/02/2006,71,Feb-00,,0.5843,29.87,66.72,36.85,0,90,20/02/2006,2,,,,,,,,,,,,,,
3601,12,2005,,1533,,,1442,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3397,19/02/2006,71,Feb-01,,0.675,31.1,70.42,39.32,0,95,20/02/2006,10,,,,,,,,,,,,,,
3602,12,2005,41/251,41/251,,1533,1533,,,,CP,2005,,,,,,natalia's baby,736,278,,,,19/02/2006,71,71,138,12,5.644,2,1.1522,0.204145996,0.5761,30.455,68.73,0,0,0,1,3398,19/02/2006,71,Feb-02,,0.6028,30.3,69.76,39.46,0,95,20/02/2006,3,,,,,,,,,,,,,,
3603,12,2005,,41/251,,,1533,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3399,19/02/2006,71,Feb-03,,0.5494,30.61,67.7,37.09,0,95,20/02/2006,11,,,,,,,,,,,,,,
3604,12,2005,002/42/4,002/42/4,,1534,1534,,,,CP,2005,,,,,,,914,145,,,,19/02/2006,71,73,164,0,6.0851,3,1.976,0.324727613,0.6587,31.13666667,69.22,0.333333333,1,0,1,3400,19/02/2006,71,Feb-04,,0.6738,31.5,69.74,38.24,0,90,20/02/2006,6,,,,,,,,,,,,,,
3605,12,2005,,002/42/4,,,1534,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401,19/02/2006,71,Feb-05,,0.6539,30.29,66.95,36.66,0,95,20/02/2006,7,,,,,,,,,,,,,,
3606,12,2005,,002/42/4,,,1534,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3402,19/02/2006,71,Feb-10,,0.6483,31.62,70.97,39.35,1,100,20/02/2006,9,,,,,,,,,,,,,,
3607,12,2005,5423,5423,,1535,1535,,,,CP,2005,,,,,,,876,179,,,,19/02/2006,71,68,97,7,4.9896,1,0.6155,0.123356582,0.6155,30.34,67.5,1,1,0,1,3403,19/02/2006,71,Feb-11,,0.6155,30.34,67.5,37.16,1,100,24/02/2006,3,,,,,,,,,,,,,,
3608,12,2005,Jan-11,Jan-11,,1246,1246,,,,CP,2002,,,,,,1/(3)011,761,264,,,,22/02/2006,74,79,169,82,8.3571,5,3.0058,0.359670221,0.6012,30.492,70.352,0.2,1,0,1,3404,22/02/2006,74,Feb-14,,0.6247,31.44,71.46,40.02,1,100,24/02/2006,11,,,,,,,,,,,,,,
3609,12,2005,,Jan-11,,,1246,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405,22/02/2006,74,Feb-15,,0.5626,30.22,69.67,39.45,0,90,24/02/2006,7,,,,,,,,,,,,,,
3610,12,2005,,Jan-11,,,1246,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3406,22/02/2006,74,Feb-20,,0.5691,29.36,68.41,39.05,0,95,24/02/2006,10,,,,,,,,,,,,,,
3611,12,2005,,Jan-11,,,1246,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3407,22/02/2006,74,Feb-21,,0.6242,31.05,71.33,40.28,0,90,24/02/2006,2,,,,,,,,,,,,,,
3612,12,2005,,Jan-11,,,1246,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,22/02/2006,74,Feb-22,,0.6252,30.39,70.89,40.5,0,95,24/02/2006,4,,,,,,,,,,,,,,
3613,12,2005,Jan-12,Jan-12,,1315,1315,,,,CP,2003,,,,,,,,,,,,22/02/2006,74,77,141,34,7.8533,4,2.5217,0.321100684,0.6304,30.995,71.8,0.75,3,0,1,3409,22/02/2006,74,Feb-23,,0.6286,31.4,72.87,41.47,1,100,24/02/2006,5,,,,,,,,,,,,,,
3614,12,2005,,Jan-12,,,1315,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3410,22/02/2006,74,Feb-24,,0.5984,30.67,70.89,40.22,1,100,24/02/2006,1,,,,,,,,,,,,,,
3615,12,2005,,Jan-12,,,1315,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3411,22/02/2006,74,Feb-25,,0.6809,31.06,71.83,40.77,0,95,24/02/2006,8,,,,,,,,,,,,,,
3616,12,2005,,Jan-12,,,1315,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3412,22/02/2006,74,Feb-30,,0.6138,30.85,71.61,40.76,1,100,24/02/2006,9,,,,,,,,,,,,,,
3617,12,2005,2444,2444,,1432,1432,2001,1170,1207,CP,2004,11/03/2002,4,4,,,,736,278,,,,23/02/2006,75,73,135,22,6.5846,3,1.6451,0.249840537,0.5484,29.90666667,65.06333333,0.666666667,2,0,1,3413,23/02/2006,75,Feb-31,,0.5425,30.59,65.87,35.28,1,100,24/02/2006,2,,,,,,,,,,,,,,
3618,12,2005,,2444,,,1432,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3414,23/02/2006,75,Feb-32,,0.5326,28.88,63.23,34.35,0,95,24/02/2006,7,,,,,,,,,,,,,,
3619,12,2005,,2444,,,1432,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3415,23/02/2006,75,Feb-33,,0.57,30.25,66.09,35.84,1,100,24/02/2006,5,,,,,,,,,,,,,,
3620,12,2005,453/41,453/41,,1347,1347,1203,1049,403,CP,2003,28/01/2001,5,5,,,was 4531,747,272,,,,26/02/2006,78,74,108,10,6.963,5,2.4769,0.355723108,0.6192,30.545,70.175,0.6,3,0,1,3416,26/02/2006,78,Feb-34,,0.615,30.08,70.67,40.59,1,100,2/03/2006,1,,,,,,,,,,,,,,
3621,12,2005,,453/41,,,1347,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417,26/02/2006,78,Feb-35,,0.6599,30.93,69.5,38.57,1,100,2/03/2006,4,,,,,,,,,,,,,,
3622,12,2005,,453/41,,,1347,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3418,26/02/2006,78,Feb-40,,0.6136,30.54,70.52,39.98,1,100,2/03/2006,7,,,,,,,,,,,,,,
3623,12,2005,,453/41,,,1347,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3419,26/02/2006,78,Feb-41,,0.5884,30.63,70.01,39.38,0,95,2/03/2006,10,,,,,,,,,,,,,,
3624,12,2005,,453/41,,,1347,,,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3625,12,2005,1523,1523,,1148,1148,,,,CP,2001,,,,,,on measurement page but no bubs recorded this year,,,,,,,,78,138,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626,12,2005,0014,0014,,1311,1311,,,,CP,2003,,,,,,dumped dead,632,315,,,,,,80,141,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3627,12,2005,001/24,001/24,,1414,1414,,,,CP,2004,,,,,,on measurement page but no bubs recorded this year,,,,,,,,77,150,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628,12,2005,3154,3154,,1536,1536,1/5001/4,1210,1510,CP,2005,4/02/2003,3,3,,,dumped dead,746,278,,,,,,69,133,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3629,12,2005,3351,3351,,1537,1537,,,,CP,2005,,,,,,on measure page but no record of bubs,,,,,,,,70,118,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3630,13,2006,1411,1411,,600,600,0342,155,2429,OR,2006,17/01/2005,2,5,,,,660,780,1,,,22/12/2006,12,66,139,41,4.3469,3,1.5463,0.355724769,0.5154,29.18,66.57333333,1,3,0,1,3420,22/12/2006,12,2200,,0.5168,28.73,66.35,37.62,1,100,,1,,,,,,,,,,,,,,
3631,13,2006,,1411,,,600,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3421,22/12/2006,12,2201,,0.5038,29.82,68.48,38.66,1,100,,4,,,,,,,,,,,,,,
3632,13,2006,,1411,,,600,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3422,22/12/2006,12,2202,,0.5257,28.99,64.89,35.9,1,100,,12,,,,,,,,,,,,,,
3633,13,2006,01/302 ,01/302,,533,533,,,,OR,2005,,,,,,,671,838,12,,,23/12/2006,13,66,154,78,5.0448,1,0.6018,0.119291151,0.6018,31.18,71.12,0,0,0,1,3423,23/12/2006,13,2203,,0.6018,31.18,71.12,39.94,0,95,,7,tiny buds,,,,,,,,,,,,,
3634,13,2006,,01/302 ,,,533,,,,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3424,23/12/2006,13,2204,,0.606,30.52,70.55,40.03,0,90,,8,small buds,,,,,,,,,,,,,
